AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
6.41,7.69,1.28,7.69,3.85,6.41,3.85,1.28,3.85,7.69,3.85,3.85,6.41,3.85,8.97,7.69,1.28,5.13,2.56,6.41
9.09,0.76,3.79,9.09,4.55,3.79,0.76,6.06,3.79,9.85,6.82,3.79,5.3,5.3,7.58,7.58,4.55,6.06,0.0,1.52
8.46,0.0,5.64,7.42,2.67,6.97,0.45,7.12,5.93,9.2,2.37,6.53,2.97,4.45,4.75,7.27,5.34,10.09,0.59,1.78
7.63,0.4,4.02,10.44,6.43,6.83,4.42,2.81,10.84,10.84,1.61,2.81,3.21,4.82,4.02,6.83,2.01,6.02,0.0,4.02
7.55,0.78,6.35,6.56,4.72,5.29,2.68,7.4,7.55,9.73,1.9,7.05,2.61,3.81,3.67,7.55,4.94,6.06,0.35,3.46
11.9,0.0,10.71,5.95,2.38,4.76,1.19,1.19,2.38,10.71,2.38,2.38,3.57,4.76,15.48,5.95,5.95,8.33,0.0,0.0
6.2,1.94,2.71,5.04,5.04,10.47,0.39,5.81,3.49,7.36,3.49,5.04,13.57,3.1,4.65,8.14,6.98,3.1,1.55,1.94
4.52,1.81,4.98,7.24,4.52,7.24,1.36,4.98,7.24,9.05,2.26,4.07,2.71,6.79,3.62,8.14,5.88,9.5,0.9,3.17
7.24,0.95,5.52,4.76,3.43,7.43,3.05,5.71,4.38,11.81,2.48,2.86,6.29,4.0,7.43,7.05,4.38,5.52,2.67,3.05
6.74,8.99,8.99,8.99,5.62,3.37,0.0,3.37,4.49,7.87,1.12,2.25,1.12,4.49,3.37,11.24,5.62,7.87,0.0,4.49
6.73,0.0,7.37,5.62,2.85,8.35,1.45,3.83,10.31,5.45,0.85,7.33,2.94,2.94,2.17,7.97,9.5,5.84,1.62,6.86
10.41,2.6,2.97,1.86,4.09,7.43,1.49,7.81,2.23,15.99,2.97,1.12,5.58,5.2,4.09,6.32,4.46,7.43,3.72,2.23
1.54,12.31,6.15,4.62,3.08,4.62,1.54,7.69,4.62,4.62,0.0,4.62,4.62,1.54,9.23,4.62,12.31,3.08,1.54,7.69
1.36,0.0,8.84,12.93,8.16,2.72,0.0,8.84,5.44,10.2,1.36,10.88,3.4,2.04,3.4,6.8,2.04,3.4,0.0,8.16
2.65,1.89,7.2,6.44,5.68,9.09,3.03,7.2,6.06,6.06,2.65,5.3,5.68,2.65,6.44,4.55,4.17,6.82,0.76,5.68
4.82,12.05,1.2,8.43,4.82,8.43,4.82,8.43,3.61,10.84,3.61,1.2,4.82,4.82,3.61,6.02,3.61,3.61,0.0,1.2
2.56,1.28,7.69,5.13,7.26,4.27,2.14,8.97,10.26,8.55,0.85,6.41,2.14,3.42,3.42,8.97,5.13,5.13,0.0,6.41
4.26,8.51,2.13,17.02,0.0,6.38,2.13,0.0,2.13,2.13,0.0,0.0,4.26,8.51,25.53,2.13,2.13,10.64,0.0,2.13
8.37,0.86,6.28,8.5,2.46,6.28,1.72,6.16,7.76,10.59,3.57,3.82,4.68,3.57,6.16,4.93,3.94,7.39,0.37,2.59
5.22,6.96,8.7,8.7,8.7,4.35,2.61,1.74,11.3,9.57,3.48,0.87,3.48,1.74,4.35,6.09,4.35,3.48,0.87,3.48
12.82,0.0,3.85,8.97,1.28,7.69,1.28,8.97,2.56,8.97,2.56,6.41,0.0,3.85,10.26,7.69,5.13,7.69,0.0,0.0
4.33,0.12,6.8,9.77,3.58,4.33,2.6,9.15,10.63,9.89,1.24,6.67,2.6,5.07,3.34,6.55,3.46,4.94,0.62,4.33
5.66,8.81,6.29,5.66,3.77,8.81,0.63,5.03,8.81,6.29,2.52,3.77,0.63,2.52,5.03,6.29,8.18,4.4,0.63,6.29
6.53,1.68,7.58,5.68,4.21,8.21,2.74,6.53,6.11,7.58,2.32,3.79,4.0,3.37,6.53,4.21,7.37,6.95,1.68,2.95
14.11,0.5,4.03,3.53,2.77,9.57,0.76,5.29,2.52,10.33,1.01,2.52,8.31,2.52,4.79,5.54,5.54,14.11,1.01,1.26
6.06,9.09,9.09,7.07,5.05,6.06,3.03,4.04,14.14,12.12,2.02,1.01,3.03,2.02,4.04,3.03,6.06,2.02,1.01,0.0
5.97,7.46,1.49,2.99,7.46,7.46,0.0,7.46,11.94,13.43,2.99,4.48,5.97,0.0,2.99,7.46,2.99,5.97,1.49,0.0
5.21,4.17,17.71,7.29,7.29,0.0,0.0,3.12,4.17,9.38,3.12,5.21,2.08,6.25,4.17,8.33,3.12,6.25,0.0,3.12
5.74,0.2,8.12,10.5,3.76,4.95,2.57,4.16,7.13,5.94,1.98,7.72,4.55,5.74,2.77,8.32,5.74,6.34,1.58,2.18
7.64,0.69,5.56,9.72,0.0,3.47,5.56,11.11,6.25,15.28,2.08,1.39,3.47,5.56,6.94,6.25,4.86,2.78,1.39,0.0
4.98,0.83,9.54,7.47,4.15,4.56,1.24,9.96,12.86,9.54,0.83,6.64,0.83,2.49,2.49,7.05,4.56,3.32,0.41,6.22
13.79,9.2,3.45,8.05,2.3,5.75,2.3,3.45,6.9,8.05,2.3,6.9,2.3,1.15,5.75,5.75,2.3,5.75,1.15,3.45
11.8,1.61,5.36,5.9,2.14,9.65,2.41,6.97,3.75,9.65,3.22,2.41,5.09,1.07,5.36,8.04,4.83,8.58,1.07,1.07
9.62,2.88,4.81,8.65,4.81,4.81,0.96,7.69,4.81,6.73,5.77,7.69,0.96,3.85,4.81,3.85,5.77,6.73,0.0,4.81
2.83,0.94,10.38,7.55,5.66,2.83,2.83,5.66,6.6,11.32,3.77,2.83,3.77,4.72,7.55,5.66,1.89,2.83,2.83,7.55
6.41,0.0,7.69,8.97,5.77,6.41,2.56,7.69,8.97,10.9,1.28,1.28,1.28,0.0,5.13,7.05,4.49,8.33,1.28,4.49
9.88,9.88,3.7,2.47,2.47,9.88,0.0,2.47,2.47,14.81,4.94,3.7,0.0,1.23,4.94,14.81,4.94,6.17,0.0,1.23
6.3,3.02,2.52,2.52,5.04,4.79,3.02,6.55,3.27,13.6,2.02,4.53,3.27,2.77,6.05,9.32,6.55,9.07,2.52,3.27
6.12,1.96,3.93,6.93,3.81,6.81,2.08,6.24,6.24,9.35,2.77,4.04,3.93,5.43,4.27,9.12,5.54,7.04,1.73,2.66
5.44,4.42,5.44,4.08,5.1,7.82,0.68,9.18,3.74,11.9,3.4,4.08,3.06,2.72,4.42,4.42,5.1,7.82,1.36,5.78
10.17,0.0,1.69,1.69,7.91,6.78,1.69,12.43,2.26,18.08,2.82,3.39,3.95,5.08,1.69,5.65,3.39,6.21,1.13,3.95
7.62,1.66,4.97,5.3,4.3,10.26,3.97,4.97,2.98,8.61,1.32,4.64,7.28,5.3,5.3,5.96,7.28,4.64,1.66,1.99
8.57,11.43,4.29,7.14,2.86,8.57,1.43,1.43,5.71,10.0,4.29,2.86,2.86,1.43,5.71,7.14,1.43,7.14,2.86,2.86
2.44,14.63,2.44,4.88,0.0,19.51,2.44,12.2,2.44,4.88,2.44,7.32,7.32,0.0,0.0,2.44,7.32,0.0,2.44,4.88
7.12,1.35,5.19,7.12,3.85,5.38,2.12,6.15,5.58,11.15,2.31,5.58,5.19,4.04,4.81,6.92,5.96,5.38,1.73,3.08
4.07,1.98,5.27,8.24,4.29,6.48,3.74,5.82,6.81,13.63,3.08,3.41,2.86,3.52,6.04,7.25,3.41,6.26,1.43,2.42
8.11,8.11,2.7,2.7,6.76,5.41,2.7,9.46,6.76,6.76,2.7,6.76,5.41,1.35,6.76,2.7,4.05,9.46,0.0,1.35
1.28,0.0,2.56,14.1,3.85,5.13,1.28,5.13,15.38,14.1,1.28,3.85,0.0,2.56,7.69,5.13,5.13,6.41,1.28,3.85
4.17,8.33,4.17,3.12,1.04,10.42,0.0,5.21,4.17,14.58,3.12,1.04,6.25,2.08,7.29,11.46,4.17,6.25,1.04,2.08
8.42,10.53,3.16,3.16,1.05,14.74,2.11,2.11,2.11,10.53,3.16,3.16,5.26,3.16,9.47,5.26,3.16,4.21,2.11,3.16
7.29,8.33,3.12,4.17,3.12,9.38,1.04,4.17,12.5,7.29,2.08,0.0,5.21,4.17,2.08,10.42,9.38,4.17,1.04,1.04
8.33,1.52,4.55,6.82,4.55,7.58,1.52,8.33,3.79,7.58,4.55,5.3,3.03,3.79,9.09,5.3,6.06,6.06,0.76,1.52
6.86,1.96,4.08,3.76,6.86,6.37,1.8,4.08,4.58,12.58,2.61,3.43,6.54,3.76,5.56,6.86,5.39,6.54,1.63,4.74
4.29,0.0,5.0,7.14,3.93,9.29,2.86,7.14,9.29,7.86,1.07,8.57,3.57,2.86,3.21,7.86,4.64,7.14,0.36,3.93
5.05,3.03,4.04,4.04,1.01,10.1,5.05,5.05,9.09,10.1,2.02,3.03,3.03,3.03,13.13,7.07,3.03,6.06,1.01,2.02
4.35,1.24,5.59,5.9,8.39,4.66,1.86,8.39,7.76,7.76,2.17,4.66,3.73,2.48,6.21,7.14,4.66,7.45,1.55,4.04
5.88,14.71,7.35,4.41,2.94,8.82,4.41,0.0,5.88,4.41,5.88,4.41,4.41,4.41,2.94,7.35,2.94,2.94,1.47,4.41
7.08,1.79,5.33,6.2,3.54,5.47,2.57,7.12,3.08,11.58,2.53,3.86,5.38,3.86,5.88,9.19,5.74,6.43,1.06,2.3
10.08,1.06,7.43,9.28,2.65,7.16,1.59,4.24,6.37,9.02,3.45,4.77,4.24,4.51,3.98,6.9,6.37,6.1,0.0,0.8
17.24,0.0,1.72,5.17,1.72,6.9,1.72,1.72,6.9,12.07,3.45,0.0,3.45,5.17,10.34,3.45,1.72,10.34,3.45,3.45
10.4,0.0,6.4,3.2,7.2,5.6,2.4,5.6,8.8,8.0,2.4,2.4,8.8,4.8,8.0,1.6,4.8,4.8,3.2,1.6
8.72,1.01,7.1,4.06,3.65,4.87,1.62,5.27,4.87,10.75,1.83,5.27,5.88,3.85,6.29,8.72,7.3,5.27,1.01,2.64
7.24,11.18,6.58,6.58,2.63,8.55,1.97,2.63,9.87,9.21,1.97,1.32,4.61,2.63,3.95,5.26,3.95,2.63,1.97,5.26
3.76,0.0,4.51,3.01,8.27,3.01,1.5,16.54,7.52,16.54,5.26,6.02,1.5,0.75,0.0,3.01,3.76,6.77,0.0,8.27
5.61,2.04,8.16,6.63,2.89,5.1,2.89,6.29,6.29,9.86,1.53,5.78,4.42,4.59,3.23,8.33,5.44,6.46,0.85,3.57
13.64,10.61,1.52,4.55,3.03,6.06,0.0,4.55,6.06,12.12,1.52,9.09,3.03,1.52,1.52,4.55,4.55,9.09,1.52,1.52
10.48,0.95,5.71,2.86,0.0,8.57,0.95,3.81,2.86,10.48,2.86,7.62,7.62,0.95,6.67,1.9,11.43,7.62,2.86,3.81
8.51,0.0,8.51,6.38,1.06,5.32,1.06,5.32,4.26,17.02,1.06,0.0,4.26,2.13,10.64,6.38,4.26,7.45,0.0,6.38
6.94,1.54,4.11,7.71,5.66,5.66,2.83,6.17,7.46,10.03,2.57,5.4,5.66,5.91,2.06,5.66,5.14,5.14,0.77,3.6
7.0,1.0,5.0,5.33,5.83,6.67,2.67,6.5,6.5,12.17,1.83,3.0,4.33,3.67,3.5,8.67,4.67,6.83,1.5,3.33
7.1,0.0,5.81,8.39,5.81,6.45,1.94,7.1,5.81,10.32,3.23,2.58,5.16,3.23,5.16,5.16,6.45,7.74,0.0,2.58
6.25,6.25,4.69,4.69,3.12,1.56,0.0,10.94,9.38,12.5,4.69,3.12,0.0,1.56,1.56,14.06,3.12,4.69,1.56,6.25
8.14,3.49,9.3,5.81,5.81,8.72,1.74,2.91,4.65,7.56,2.33,2.91,4.65,4.07,5.81,10.47,2.33,6.98,1.16,1.16
7.41,11.11,7.41,11.11,1.85,5.56,1.85,3.7,5.56,12.96,0.0,3.7,5.56,1.85,3.7,9.26,5.56,1.85,0.0,0.0
7.25,0.08,7.42,6.32,5.06,6.07,1.35,5.31,12.23,7.93,1.18,9.95,2.61,5.06,2.53,7.42,4.22,5.48,0.42,2.11
11.28,3.01,2.26,3.76,5.08,7.71,1.5,5.83,2.07,13.53,1.69,3.57,4.32,2.07,3.95,6.77,8.08,9.02,2.07,2.44
9.68,0.74,4.42,6.45,3.78,6.08,2.12,4.61,6.64,11.24,1.84,4.33,3.96,6.91,3.69,7.0,6.27,5.25,2.21,2.76
15.27,0.76,5.34,6.87,5.34,6.11,3.82,2.29,3.05,6.11,2.29,3.05,2.29,1.53,8.4,5.34,6.11,10.69,3.82,1.53
3.95,0.0,3.29,10.53,5.26,3.95,1.32,9.21,12.5,9.87,1.32,9.21,2.63,4.61,1.32,8.55,2.63,7.24,0.66,1.97
7.38,0.0,7.38,8.05,3.36,0.67,0.67,12.75,8.72,12.75,4.03,4.03,4.7,1.34,4.03,2.68,8.05,5.37,0.0,4.03
14.55,14.55,1.82,3.64,0.0,9.09,1.82,5.45,18.18,1.82,0.0,7.27,1.82,3.64,5.45,1.82,1.82,0.0,3.64,3.64
11.53,2.34,4.97,5.58,1.96,8.29,5.12,3.39,5.05,10.78,1.58,4.67,6.1,3.62,4.45,7.16,5.05,5.65,0.3,2.41
8.26,2.14,3.67,6.73,5.2,8.26,3.06,3.06,4.89,10.4,3.36,3.36,4.89,5.2,5.2,5.2,5.81,5.81,1.53,3.98
3.61,2.06,7.73,8.76,4.12,3.61,2.06,4.12,12.89,6.19,3.09,6.7,4.64,4.64,6.19,3.61,3.61,7.73,0.0,4.64
3.42,0.28,6.55,5.98,3.99,4.27,1.99,4.56,11.97,6.27,0.28,10.26,3.42,4.84,4.27,9.12,5.98,6.55,0.85,5.13
3.87,2.76,3.87,4.97,4.42,7.18,2.21,7.73,6.63,11.05,3.31,6.63,4.97,4.42,2.21,9.39,8.29,4.42,1.66,0.0
7.07,1.25,6.44,8.94,3.53,6.03,1.66,5.2,5.41,8.52,2.49,4.16,5.82,4.16,2.91,6.65,5.82,8.52,0.83,4.57
8.16,9.18,7.14,2.04,2.04,10.2,2.04,9.18,8.16,6.12,1.02,4.08,5.1,2.04,4.08,6.12,1.02,12.24,0.0,0.0
16.85,0.37,5.13,3.66,4.03,6.59,2.2,4.4,1.47,7.33,2.56,3.66,8.42,5.13,6.96,5.13,4.03,7.69,1.47,2.93
5.96,1.32,7.28,9.27,5.3,6.62,3.31,6.62,11.26,10.6,2.65,1.99,3.31,2.65,1.99,7.28,2.65,7.28,0.0,2.65
5.95,0.68,5.27,3.4,3.57,10.37,2.38,3.23,1.53,11.39,1.53,4.25,4.42,4.93,7.14,9.52,7.31,7.31,2.89,2.89
0.0,1.49,4.48,13.43,2.99,1.49,2.99,14.93,19.4,8.96,2.99,0.0,4.48,0.0,0.0,7.46,4.48,2.99,1.49,5.97
5.78,0.68,4.08,8.16,2.38,4.42,2.38,6.8,5.44,10.54,1.7,7.82,6.12,3.4,3.74,9.52,6.12,8.16,1.02,1.7
12.99,0.25,7.6,1.96,3.68,6.37,0.0,6.13,3.43,9.8,1.23,4.41,6.62,5.39,6.86,7.11,6.62,4.66,1.47,3.43
11.7,0.0,3.19,7.45,1.06,3.19,1.06,5.32,4.26,12.77,5.32,4.26,5.32,4.26,7.45,9.57,5.32,6.38,2.13,0.0
8.06,8.06,1.61,9.68,4.84,6.45,1.61,1.61,1.61,4.84,6.45,1.61,8.06,1.61,4.84,9.68,8.06,9.68,1.61,0.0
6.5,11.38,4.07,5.69,3.25,5.69,0.81,2.44,3.25,4.07,8.13,4.07,3.25,4.07,6.5,8.13,5.69,9.76,0.0,3.25
1.2,10.84,2.41,6.02,2.41,9.64,2.41,4.82,6.02,9.64,1.2,6.02,9.64,3.61,6.02,8.43,1.2,3.61,0.0,4.82
6.8,0.0,8.74,8.74,5.83,2.91,1.94,9.71,6.8,4.85,3.88,3.88,3.88,4.85,9.71,4.85,3.88,5.83,0.97,1.94
2.62,1.81,6.34,8.05,4.02,3.62,1.51,11.17,12.58,7.95,2.11,6.24,2.72,2.31,2.82,6.04,4.63,4.83,1.31,7.34
21.33,0.0,6.67,8.0,0.0,2.67,4.0,2.67,1.33,10.67,1.33,0.0,0.0,6.67,12.0,1.33,9.33,10.67,1.33,0.0
2.16,1.94,8.41,7.33,7.97,3.02,1.72,7.76,8.84,9.48,1.51,7.11,3.88,2.59,3.45,9.7,4.53,4.96,0.22,3.45
6.33,1.08,6.33,4.7,5.06,6.15,1.99,6.51,7.05,8.14,3.25,5.24,4.34,4.16,5.06,6.69,4.7,4.52,2.53,6.15
13.04,0.13,6.23,7.64,1.73,8.93,2.06,2.06,2.76,11.37,1.09,1.48,5.91,3.47,9.83,4.82,5.78,7.96,1.61,2.12
12.79,0.63,2.94,3.14,6.71,10.48,2.1,9.22,4.4,9.22,3.14,3.35,4.82,1.89,2.52,5.87,4.19,8.39,1.26,2.94
6.94,3.18,2.6,4.34,6.36,7.8,2.6,3.47,1.73,15.32,1.45,2.31,4.34,4.05,5.78,8.09,4.34,9.25,2.31,3.76
3.75,7.5,6.25,3.75,5.0,8.75,2.5,5.0,11.25,6.25,1.25,5.0,8.75,0.0,6.25,1.25,6.25,2.5,2.5,6.25
8.2,4.92,1.64,3.28,0.0,4.92,0.0,4.92,4.92,9.84,6.56,1.64,19.67,3.28,3.28,8.2,3.28,8.2,3.28,0.0
10.95,3.48,4.98,8.96,3.98,7.46,2.99,3.98,4.98,8.96,1.99,2.49,4.98,2.49,8.96,4.98,2.49,5.47,2.99,2.49
6.0,1.69,4.5,8.44,3.56,6.57,3.38,4.32,7.13,9.01,1.88,4.5,6.57,6.57,4.69,6.0,5.25,6.19,1.13,2.63
5.1,9.18,3.06,9.18,6.12,6.12,1.02,6.12,4.08,10.2,4.08,5.1,5.1,2.04,7.14,6.12,4.08,4.08,0.0,2.04
11.9,1.12,2.97,6.69,2.6,6.69,1.86,4.09,0.0,4.46,2.6,4.83,4.46,2.97,9.29,7.81,10.41,6.32,1.86,7.06
11.45,0.76,8.4,6.11,2.29,4.58,5.34,8.4,2.29,11.45,3.05,0.76,3.82,3.05,9.16,5.34,3.05,7.63,0.0,3.05
5.84,1.54,4.54,8.27,4.14,6.33,2.35,5.92,2.76,8.52,0.73,7.54,4.22,3.65,6.73,6.81,7.79,5.76,1.62,4.95
7.43,3.72,8.78,3.72,3.72,6.42,2.7,7.09,5.74,6.08,1.01,5.74,2.36,2.7,3.04,10.14,6.08,6.76,2.03,4.73
9.35,1.87,3.74,6.54,0.93,8.41,0.93,2.8,8.41,14.02,2.8,4.67,2.8,2.8,7.48,4.67,8.41,4.67,0.0,4.67
5.84,1.84,4.56,6.0,4.56,7.51,3.12,6.47,3.92,12.79,2.24,4.32,3.68,3.92,5.92,7.75,5.04,6.39,0.96,3.2
9.47,0.0,12.63,10.53,4.21,5.26,1.05,7.37,3.16,7.37,4.21,1.05,5.26,2.11,9.47,6.32,2.11,4.21,4.21,0.0
5.41,1.35,5.41,5.41,8.11,4.05,2.7,9.46,8.11,17.57,1.35,2.7,2.7,1.35,6.76,8.11,1.35,4.05,0.0,4.05
5.81,1.16,6.98,3.49,4.65,3.49,3.49,10.47,8.14,12.79,1.16,4.65,3.49,3.49,9.3,5.81,2.33,1.16,3.49,4.65
6.34,1.15,3.17,6.05,6.63,5.76,2.88,4.61,5.48,10.66,2.88,2.59,8.07,3.17,7.2,4.61,4.61,6.34,2.88,4.9
5.52,0.26,7.45,9.63,4.24,5.65,2.44,6.55,8.47,7.06,3.34,3.59,4.49,2.57,6.55,5.39,6.03,8.09,0.39,2.31
9.03,1.6,5.41,6.05,3.37,6.26,2.64,5.94,3.42,10.2,1.79,2.48,5.5,4.38,5.66,8.18,6.76,7.4,1.54,2.41
8.11,0.68,6.08,6.08,3.38,8.78,3.38,7.43,4.05,8.78,2.7,0.0,5.41,0.0,10.14,8.11,8.11,6.08,2.03,0.68
3.97,0.0,7.94,4.76,8.73,3.97,0.0,7.94,19.05,7.14,0.79,6.35,2.38,0.79,0.79,10.32,5.56,3.97,0.0,5.56
9.68,1.08,2.15,13.98,1.08,4.3,2.15,4.3,3.23,7.53,6.45,5.38,1.08,1.08,11.83,10.75,5.38,6.45,0.0,2.15
5.64,1.88,7.52,5.64,4.08,4.39,4.08,5.64,3.45,9.09,2.51,5.33,3.13,1.88,5.96,8.78,6.58,8.15,1.25,5.02
5.68,2.27,10.23,9.09,4.55,3.41,3.41,9.09,3.41,9.09,6.82,5.68,4.55,1.14,11.36,3.41,1.14,2.27,2.27,1.14
3.12,14.06,0.0,7.81,1.56,6.25,3.12,4.69,4.69,9.38,4.69,6.25,6.25,7.81,3.12,7.81,4.69,3.12,0.0,1.56
7.59,7.59,2.53,3.8,5.06,7.59,0.0,7.59,5.06,8.86,7.59,6.33,2.53,3.8,7.59,3.8,3.8,7.59,0.0,1.27
4.74,7.33,6.03,9.05,5.6,5.17,3.45,5.6,7.76,6.9,0.86,3.88,4.31,3.02,2.16,6.47,10.34,2.16,0.43,4.74
6.64,0.37,5.17,4.06,3.69,7.01,1.85,5.17,4.06,5.17,1.11,5.54,3.69,5.17,4.43,10.7,9.96,7.75,1.85,6.64
9.91,1.42,6.6,4.25,5.19,11.32,3.77,6.13,1.89,5.66,3.77,3.3,5.66,2.83,6.13,5.66,3.3,5.66,2.83,4.72
16.04,1.89,7.55,6.6,1.89,9.43,1.89,5.66,0.0,9.43,0.94,1.89,1.89,2.83,11.32,2.83,7.55,7.55,0.94,1.89
11.54,7.69,2.56,11.54,6.41,2.56,2.56,3.85,2.56,7.69,3.85,8.97,2.56,1.28,7.69,6.41,2.56,5.13,1.28,1.28
4.45,1.48,5.93,5.93,5.08,4.87,1.48,9.53,7.42,7.2,2.54,4.87,4.66,4.45,2.75,7.63,9.53,5.08,1.06,4.03
6.33,8.86,10.13,3.8,3.8,0.0,3.8,3.8,6.33,12.66,6.33,3.8,0.0,0.0,10.13,6.33,5.06,5.06,0.0,3.8
8.11,0.0,13.51,8.11,2.7,5.41,0.0,5.41,1.35,6.76,1.35,0.0,6.76,1.35,9.46,8.11,5.41,16.22,0.0,0.0
6.84,0.0,5.82,8.61,3.8,6.58,2.03,6.71,7.34,8.86,3.67,3.92,2.66,4.56,5.32,5.82,4.81,7.72,0.38,4.56
11.41,0.67,6.71,7.38,2.01,4.7,2.68,4.03,4.03,10.74,2.01,0.67,4.7,4.7,10.74,6.71,4.03,8.72,1.34,2.01
7.36,1.76,4.74,5.33,6.13,6.29,2.29,7.14,4.37,9.33,2.93,4.1,4.58,4.26,5.44,6.08,5.44,5.17,1.97,5.28
12.21,1.16,5.52,6.1,2.91,7.85,1.74,4.65,2.91,11.92,2.91,2.33,3.49,6.69,9.01,4.36,3.78,6.4,2.62,1.45
5.15,2.01,7.94,4.62,5.41,7.5,1.13,6.81,8.64,6.89,2.27,8.55,4.01,1.48,2.27,8.38,4.89,4.62,1.22,6.2
6.61,7.02,4.96,4.13,2.48,6.2,2.07,5.79,5.37,6.61,3.31,7.02,5.79,4.13,3.72,6.61,7.02,4.96,1.65,4.55
2.97,8.91,1.98,5.94,2.97,7.92,3.96,12.87,4.95,9.9,5.94,1.98,3.96,2.97,0.99,11.88,3.96,0.99,0.99,3.96
6.06,6.06,3.03,4.55,1.52,6.06,3.03,9.09,3.03,12.12,4.55,1.52,7.58,6.06,10.61,4.55,3.03,4.55,0.0,3.03
3.49,0.46,6.27,5.5,5.58,4.65,0.77,9.91,6.51,7.28,1.86,11.62,3.41,2.63,3.95,7.59,6.2,5.42,1.08,5.81
7.48,1.4,5.61,6.07,2.8,7.01,1.87,7.94,13.08,7.01,2.34,4.21,3.74,5.61,2.8,5.61,4.21,7.01,0.93,3.27
8.4,9.92,6.87,5.34,3.82,9.16,0.0,2.29,3.82,11.45,2.29,4.58,3.05,3.05,3.05,9.16,3.05,9.16,0.0,1.53
19.54,0.0,12.64,6.9,2.3,8.05,2.3,10.34,2.3,5.75,2.3,0.0,4.6,2.3,8.05,3.45,2.3,5.75,0.0,1.15
7.14,2.52,6.3,7.56,5.46,5.46,2.73,5.25,6.51,7.56,1.47,4.2,4.83,2.73,4.2,9.66,5.04,7.77,1.05,2.52
10.0,7.5,7.5,2.5,3.75,5.0,1.25,11.25,5.0,11.25,1.25,1.25,7.5,0.0,3.75,7.5,2.5,11.25,0.0,0.0
5.95,14.29,3.57,8.33,1.19,7.14,1.19,2.38,3.57,4.76,5.95,4.76,3.57,3.57,3.57,10.71,1.19,8.33,2.38,3.57
6.85,0.76,6.09,9.39,3.55,10.41,2.79,7.36,5.84,7.11,2.79,1.78,5.08,2.03,5.84,2.54,7.61,9.39,0.25,2.54
21.17,0.73,4.38,5.84,1.46,2.92,5.11,2.19,2.19,13.87,1.46,0.0,5.11,0.73,8.76,2.92,8.03,9.49,1.46,2.19
2.33,1.16,9.3,8.14,6.98,4.65,2.33,6.98,5.81,9.3,2.33,4.65,1.16,0.0,3.49,13.95,4.65,8.14,2.33,2.33
8.29,1.66,2.03,4.24,4.6,8.1,1.47,8.1,4.42,12.15,4.6,2.58,4.42,3.31,4.6,8.1,6.08,7.0,1.84,2.39
6.9,9.2,4.6,4.6,1.15,4.6,0.0,2.3,8.05,11.49,2.3,2.3,5.75,6.9,9.2,4.6,5.75,8.05,0.0,2.3
8.18,0.45,5.0,4.55,4.09,7.27,2.27,6.82,9.55,10.45,0.91,7.73,3.18,4.09,1.82,7.73,5.0,5.45,0.91,4.55
2.34,2.34,6.72,6.72,2.75,5.6,1.63,12.53,11.3,7.94,3.05,7.43,2.75,1.73,4.38,5.6,4.38,4.58,0.92,5.3
4.35,7.83,2.61,6.96,2.61,8.7,0.87,6.96,12.17,9.57,5.22,5.22,0.87,0.87,4.35,7.83,5.22,5.22,0.0,2.61
16.54,1.5,7.52,2.26,3.01,6.77,6.02,1.5,0.0,11.28,2.26,0.75,2.26,4.51,4.51,6.77,7.52,12.78,1.5,0.75
4.51,0.41,11.35,6.16,1.92,4.65,5.34,4.79,6.57,6.29,1.5,14.64,3.28,3.15,2.74,9.71,4.79,5.47,0.27,2.46
6.0,12.0,6.0,5.0,6.0,8.0,2.0,4.0,11.0,7.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,7.0,2.0,5.0
5.66,11.32,0.0,1.89,7.55,7.55,0.0,3.77,7.55,13.21,3.77,7.55,0.0,1.89,7.55,9.43,5.66,5.66,0.0,0.0
15.04,0.0,6.02,7.52,1.5,3.76,3.01,3.01,6.77,15.79,0.75,0.75,2.26,1.5,6.02,5.26,3.76,9.77,2.26,5.26
11.31,1.83,3.36,4.59,6.12,7.03,3.98,2.45,2.75,12.54,2.45,2.14,7.03,5.81,6.12,7.65,3.98,4.28,2.14,2.45
7.64,0.0,6.94,11.11,6.94,2.08,5.56,5.56,11.81,10.42,2.78,2.78,0.69,3.47,1.39,3.47,6.94,6.25,1.39,2.78
5.68,0.0,7.39,6.82,3.98,9.09,0.57,6.82,3.41,8.52,3.98,2.27,2.84,2.27,6.82,9.66,6.25,6.25,2.27,5.11
8.29,1.71,5.43,7.71,6.0,9.43,3.14,6.57,4.0,13.43,1.71,3.14,3.14,3.14,4.0,4.86,4.86,5.43,1.14,2.86
8.8,2.55,3.01,7.64,3.47,8.8,2.55,6.02,3.47,8.8,2.31,3.94,4.17,3.47,6.94,6.94,5.09,7.64,1.39,3.01
2.74,2.28,5.78,6.54,6.09,4.26,3.65,5.18,5.18,7.0,3.04,4.87,6.85,5.02,5.63,8.52,6.09,6.09,1.22,3.96
7.59,1.27,2.53,5.7,7.59,5.7,0.63,5.7,5.06,10.13,4.43,3.8,4.43,6.33,4.43,6.96,6.96,7.59,0.63,2.53
